"Get Order","Получить заказ"
"Waiting for the order","Ожидание заказа"
"Clean initiator","Очистить инициатора"
"Initiator","Инициатор"
"Primary Initiator","Первичный инициатор"
"Type of Product","Тип товара"
"Product Types","Тип товаров"
"Order Types","Тип заказов"
"Not specified","Не указан"
"Large home appliances","Крупная бытовая техника"
"Small household appliances","Мелкая бытовая техника"
"Gadgets","Гаджеты"
"Call-center coordinator","Координатор колл-центра"
"Call-center specialist","Специалист колл-центра"
"Nightly - (from 20.00 to 08.00)","Ночные - (с 20.00 до 08.00)"
"Daytime - (from 08.00 to 20.00)","Дневные - (с 08.00 до 20.00)"
"Are you sure you want to clean the initiator for this Order?","Вы уверены, что хотите очистить инициатора для этого заказа?"
